Date,Product,Category,Sales
2025-09-01,Notebook A,Electronics,1200
2025-09-01,Mouse B,Electronics,25
2025-09-02,Notebook A,Electronics,1300
2025-09-02,Chair C,Furniture,150
2025-09-03,Desk D,Furniture,300
2025-09-03,Headphones E,Electronics,80
2025-09-04,Mouse B,Electronics,30
2025-09-04,Notebook A,Electronics,1250
2025-09-05,Chair C,Furniture,170
2025-09-05,Desk D,Furniture,310
2025-09-06,Headphones E,Electronics,90
2025-09-06,Notebook F,Electronics,1400
2025-09-07,Desk D,Furniture,320
2025-09-07,Mouse G,Electronics,40
